Hoofdcategorie,Categorie,Totaal,Kool,Aardolie,Aardgas,Hernieuwbaar,Elektriciteit,Warmte,Overig
Bronnen voor omzetting,Bronnen voor omzetting,3094.1,343.8,1158.2,1285.1,198.9,28.7,0,77.9
Bronnen na omzetting,Bronnen na omzetting,2597.7,31.1,1133.9,777.3,45.2,427,181.4,1.8
Omzettingsverliezen,Omzettingsverliezen,501.6,312.7,31.8,503.6,153.9,-396.4,-180,76.1
Verbruikers,Energiesector,173.1,8,86.2,42.2,0,22.3,14.5,0
Verbruikers,Distributieverliezen,23.6,0,0,0,0,19.5,4.1,0
Verbruikers,Chemische industrie,293.7,0,115.1,69,0.3,46.3,62.5,0.5
Verbruikers,Voedingsindustrie,88.1,1.3,0.1,47,1.7,24.6,13.3,0.1
Verbruikers,Nijverheid,182.4,21.4,19.5,65.2,3.7,57.6,15,0
Verbruikers,Verkeer,458.1,0,448.7,1.9,0,7.5,0,0
Verbruikers,Diensten,283.3,0.1,6.8,124,7.2,131.9,11.9,1.3
Verbruikers,Woningen,406.1,0,1.5,286.4,24.1,81.9,12.2,0
Verbruikers,Landbouw,150.7,0,18.2,41.4,8.2,35,47.9,0
Verbruikers,Producten,529.3,0.3,428.8,100.2,0,0,0,0
Verbruikers,Overig,9.4,0,8.9,0.1,0,0.4,0,0
,,,,,,,,,
,,,,,,,,,
Hoofdcategorie,Categorie,Totaal,Kool,Aardolie,Aardgas,Hernieuwbaar,Elektriciteit,Warmte,Overig
Bronnen voor omzetting,Bronnen voor omzetting,3046.7,268.8,1116.9,1332.7,234,9.5,0,84.8
Bronnen na omzetting,Bronnen na omzetting,2564,30.6,1095.7,764.1,45.7,432.8,194.5,0.6
Omzettingsverliezen,Omzettingsverliezen,482.7,238.2,21.2,568.6,188.3,-423.3,-194.5,84.2
Verbruikers,Energiesector,187.2,7.7,99.4,45.6,0,20.2,14.3,0
Verbruikers,Distributieverliezen,26.3,0,0,0,0,18.2,8.1,0
Verbruikers,Chemische industrie,294.7,0,106.3,69,0.2,,,
Verbruikers,Voedingsindustrie,82.2,1.3,0.1,43.1,1.8,,,
Verbruikers,Overige nijverheid,177.5,18.9,21.1,64.8,2.7,,,
Verbruikers,Vervoer,457.8,,446.6,2.7,,,,
Verbruikers,Diensten,282.9,0.1,10,120,8.3,,,
Verbruikers,Woningen,389.7,0,1.5,270.2,21.8,,,
Verbruikers,Landbouw,160.4,0,18.7,38.3,10.9,,,
Verbruikers,Producten,495.6,2.4,382.9,110.3,0,,,
Verbruikers,Overig,9.7,0,1.6,0,0,,,
